"id","code","name"
"kungsbacka-kommun","kungsbacka-kommun","Kungsbacka kommun"
"kungsörs-kommun","kungsörs-kommun","Kungsörs kommun"
"kungälvs-kommun","kungälvs-kommun","Kungälvs kommun"
"kävlinge-kommun","kävlinge-kommun","Kävlinge kommun"
"köpings-kommun","köpings-kommun","Köpings kommun"
"laholms-kommun","laholms-kommun","Laholms kommun"
"landskrona-kommun","landskrona-kommun","Landskrona kommun"
"laxå-kommun","laxå-kommun","Laxå kommun"
"lekebergs-kommun","lekebergs-kommun","Lekebergs kommun"
"leksands-kommun","leksands-kommun","Leksands kommun"
"lerums-kommun","lerums-kommun","Lerums kommun"
"lessebo-kommun","lessebo-kommun","Lessebo kommun"
"lidingö-kommun","lidingö-kommun","Lidingö kommun"
"lidköpings-kommun","lidköpings-kommun","Lidköpings kommun"
"lilla-edets-kommun","lilla-edets-kommun","Lilla Edets kommun"
"lindesbergs-kommun","lindesbergs-kommun","Lindesbergs kommun"
"linköpings-kommun","linköpings-kommun","Linköpings kommun"
"ljungby-kommun","ljungby-kommun","Ljungby kommun"
"ljusdals-kommun","ljusdals-kommun","Ljusdals kommun"
"ljusnarsbergs-kommun","ljusnarsbergs-kommun","Ljusnarsbergs kommun"
"lomma-kommun","lomma-kommun","Lomma kommun"
"ludvika-kommun","ludvika-kommun","Ludvika kommun"
"luleå-kommun","luleå-kommun","Luleå kommun"
"lunds-kommun","lunds-kommun","Lunds kommun"
"lycksele-kommun","lycksele-kommun","Lycksele kommun"
"lysekils-kommun","lysekils-kommun","Lysekils kommun"
"malmö-kommun","malmö-kommun","Malmö kommun"
"malung-sälens-kommun","malung-sälens-kommun","Malung-Sälens kommun"
"malå-kommun","malå-kommun","Malå kommun"
"mariestads-kommun","mariestads-kommun","Mariestads kommun"
"markaryds-kommun","markaryds-kommun","Markaryds kommun"
"marks-kommun","marks-kommun","Marks kommun"
"melleruds-kommun","melleruds-kommun","Melleruds kommun"
"mjölby-kommun","mjölby-kommun","Mjölby kommun"
"mora-kommun","mora-kommun","Mora kommun"
"motala-kommun","motala-kommun","Motala kommun"
"mullsjö-kommun","mullsjö-kommun","Mullsjö kommun"
"munkedals-kommun","munkedals-kommun","Munkedals kommun"
"munkfors-kommun","munkfors-kommun","Munkfors kommun"
"mölndals-kommun","mölndals-kommun","Mölndals kommun"
"mönsterås-kommun","mönsterås-kommun","Mönsterås kommun"
"mörbylånga-kommun","mörbylånga-kommun","Mörbylånga kommun"
"nacka-kommun","nacka-kommun","Nacka kommun"
"nora-kommun","nora-kommun","Nora kommun"
"norbergs-kommun","norbergs-kommun","Norbergs kommun"
"nordanstigs-kommun","nordanstigs-kommun","Nordanstigs kommun"
"nordmalings-kommun","nordmalings-kommun","Nordmalings kommun"
"norrköpings-kommun","norrköpings-kommun","Norrköpings kommun"
"norrtälje-kommun","norrtälje-kommun","Norrtälje kommun"
"norsjö-kommun","norsjö-kommun","Norsjö kommun"
"nybro-kommun","nybro-kommun","Nybro kommun"
"nykvarns-kommun","nykvarns-kommun","Nykvarns kommun"
"nyköpings-kommun","nyköpings-kommun","Nyköpings kommun"
"nynäshamns-kommun","nynäshamns-kommun","Nynäshamns kommun"
"nässjö-kommun","nässjö-kommun","Nässjö kommun"
"ockelbo-kommun","ockelbo-kommun","Ockelbo kommun"
"olofströms-kommun","olofströms-kommun","Olofströms kommun"
"orsa-kommun","orsa-kommun","Orsa kommun"
"orust-kommun","orust-kommun","Orust kommun"
"osby-kommun","osby-kommun","Osby kommun"
"oskarshamns-kommun","oskarshamns-kommun","Oskarshamns kommun"
"ovanåkers-kommun","ovanåkers-kommun","Ovanåkers kommun"
"oxelösunds-kommun","oxelösunds-kommun","Oxelösunds kommun"
"pajala-kommun","pajala-kommun","Pajala kommun"
"partille-kommun","partille-kommun","Partille kommun"
"perstorps-kommun","perstorps-kommun","Perstorps kommun"
"piteå-kommun","piteå-kommun","Piteå kommun"
"ragunda-kommun","ragunda-kommun","Ragunda kommun"
